"MONDAY","Mandag"
"TUESDAY","Tirsdag"
"WEDNESDAY","Onsdag"
"THURSDAY","Torsdag"
"FRIDAY","Fredag"
"SATURDAY","Lørdag"
"SUNDAY","Søndag"
"%1 service points","%1 Budbee Box"
"%1 boxes in postcode <u>%2</u>","%1 Boxes i postnummer <u>%2</u>"
"Choose ParcelShop","Vælg Budbee Box"
"Find a Budbee Box","Find en Budbee Box"
"Find a Service Point","Vælg en budbee Box"
"Search for parcelshops","Søg efter en Budbee Box"
"Change Location","Ændre Box"
"Choose Another ParcelShop","Vælg en anden Budbee Box"
"You must choose a Service Point!","Du skal vælge en Budbee Box"
"Sorry, we could not find any service points in your area","Undskyld, vi kunne ikke finde en Budbee box i dit område"
"Print Budbee Shipment Labels","Print Budbee leverings label"
"Print Budbee Shipment Label","Print Budbee leverings label"
