"MONDAY","MAANDAG"
"TUESDAY","DINSDAG"
"WEDNESDAY","WOENSDAG"
"THURSDAY","DONDERDAG"
"FRIDAY","VRIJDAG"
"SATURDAY","ZATERDAG"
"SUNDAY","ZONDAG"
"%1 service points","%1 Budbee Boxes"
"%1 boxes in postcode <u>%2</u>","%1 boxes op postcode <u>%2</u>"
"Choose ParcelShop","Kies een Budbee Box"
"Find a Budbee Box","Zoek een Budbee Box"
"Find a Service Point","Zoek een Budbee Box"
"Search for parcelshops","Zoek naar Budbee Box locaties"
"Change Location","Verander de locatie"
"Choose Another ParcelShop","Kies een andere Budbee Box"
"You must choose a Service Point!","Kies een Budbee Box!"
"Sorry, we could not find any service points in your area","Sorry, we konden geen Budbee Box locaties bij jou in de buurt vinden"
"Print Budbee Shipment Labels","Budbee-verzendlabels afdrukken"
"Print Budbee Shipment Label","Budbee-verzendlabel afdrukken"
