"MONDAY","Måndag",
"TUESDAY","Tisdag",
"WEDNESDAY","Onsdag",
"THURSDAY","Torsdag",
"FRIDAY","Fredag",
"SATURDAY","Lördag",
"SUNDAY","Söndag",
"%1 service points","%1 Budbee Box",
"%1 boxes in postcode <u>%2</u>","%1 Box i postnummer <u>%2</u>",
"Choose ParcelShop","Välj Budbee Box",
"Find a Budbee Box","Hitta en Budbee Box",
"Find a Service Point","Välj en Budbee Box",
"Search for parcelshops","Sök efter Budbee Box",
"Change Location","Ändra Box",
"Choose Another ParcelShop","Välj en annan Budbee Box",
"You must choose a Service Point!","Du måste välja en Budbee Box",
"Sorry, we could not find any service points in your area","Tyvärr, vi kunde inte hitta en Budbee Box i ditt område",
"Print Budbee Shipment Labels","Skriv ut Budbee etiketter",
"Print Budbee Shipment Label","Skriv ut Budbee etikett"
